video-id,t-start,t-end,score,label
video_validation_0000365,18.9,36.8,0.92000747,HighJump
video_validation_0000365,67.1,88.8,0.6328553,HighJump
video_validation_0000365,111.5,123.5,0.33943996,HighJump
video_validation_0000365,139.8,144.1,0.0012636426,HighJump
video_validation_0000365,144.9,156.0,0.3361511,HighJump
video_validation_0000365,158.1,158.5,0.0015132899,HighJump
video_validation_0000365,162.9,166.1,0.0064241583,HighJump
video_validation_0000365,175.1,176.8,0.01065685,HighJump
video_validation_0000365,190.0,237.5,0.9416649,HighJump
video_validation_0000365,241.1,247.4,0.005466238,HighJump
video_validation_0000365,255.1,257.5,0.009741997,HighJump
video_validation_0000664,0.0,10.8,0.2654365,PoleVault
video_validation_0000664,16.3,16.8,0.026154941,PoleVault
video_validation_0000664,17.7,30.2,0.48274952,PoleVault
video_validation_0000664,34.0,39.0,0.9940356,PoleVault
video_validation_0000664,44.1,52.7,0.96911263,PoleVault
video_validation_0000664,54.6,60.3,0.9548984,PoleVault
video_validation_0000664,62.2,69.0,0.99939,PoleVault
video_validation_0000664,72.4,82.1,0.88149685,PoleVault
video_validation_0000664,84.9,98.3,0.99921155,PoleVault
video_validation_0000664,99.9,105.7,0.98223937,PoleVault
video_validation_0000664,109.4,114.1,0.9997583,PoleVault
video_validation_0000664,204.6,204.7,0.005160381,PoleVault
video_validation_0000931,11.1,11.5,0.9606732,TennisSwing
video_validation_0000931,19.5,81.0,0.9996737,TennisSwing
video_validation_0000369,0.0,5.2,0.004034416,HighJump
video_validation_0000369,17.1,25.5,0.07768519,HighJump
video_validation_0000369,26.7,30.5,0.05490371,HighJump
video_validation_0000369,38.5,40.1,0.07821838,HighJump
video_validation_0000369,49.3,52.8,0.080809385,HighJump
video_validation_0000369,62.0,66.6,0.5390282,HighJump
video_validation_0000369,73.7,78.4,0.06708257,HighJump
video_validation_0000369,89.2,91.8,0.102943204,HighJump
video_validation_0000369,101.3,107.0,0.060475446,HighJump
video_validation_0000369,113.4,118.9,0.05693097,HighJump
video_validation_0000369,131.5,133.4,0.0055848244,HighJump
